job_title,job_description,job_requirements,job_deadline
Sr. Engineer(Test Architect),"CrowdStrike is seeking a highly experienced and seasoned SDET to join our Falcon Exposure Management Product Group as a technical leader. As a Senior SDET, you will leverage your vast experience in leading large-scale products to drive technical direction, develop automation, and build tools that ensure the quality, reliability, and accuracy of our cloud-based cybersecurity systems. If you are a hands-on technical leader who wants to operate at scale and drive complex testing initiatives, we encourage you to apply.  Find out why you should join CrowdStrike recognized as a pre-eminent market and technology leader in cybersecurity - https://bit.ly/3GMSqll   Read about Testing Data Flows Using Python and Remote Functions - https://bit.ly/3kG4zjL   Learn about the Developer in Test Hybrid Role - https://bit.ly/3i24DIA   Find out how is it to have Autonomy, Mastery & Purpose - https://bit.ly/3qPh38T   Work with Better Tech & Have a Bigger Mission - https://bit.ly/3c92J73","['12+ years of experience in Quality Assurance (QA) manual plus automation role in a product based companies.', 'Strong experience and proficiency in working with Windows, Linux (various distros) and mac platforms', 'Proven and strong experience in automation framework design', 'Must have proficiency on Python and/or Golang', 'Must have experience with Web application and API testing.', 'Hands on knowledge on shell scripting, PowerShell scripting, osquery, nmap etc will be preferred', 'Strong understanding of generic test automation frameworks (data-driven, keyword driven) and tools ( PyTest, Robot Framework, Playwright, Selenium etc).', 'Knowledge and hands on experience on using Ansible, Terraform, Vagrant, cloud certifications on AWS/GCP is a big plus', 'Knowledge of SaaS delivery model and cloud application testing.', 'Strong debugging and analytical skills.', 'Experience with Test and defect management tools', 'Excellent analytical and program solving skills, excellent written and oral communication, self-starter, and highly motivated.', 'Work in a dynamic environment and ability to adapt quickly to changes.', '#LI-DP1', '#LI-VJ1', '#LI-HM1']",
"Sr. Engineer - ML Platform (Remote, IND)",,"['B.S. in Computer Science, Data Science, Statistics, Applied Mathematics, or a related field and 10+ years related experience; or M.S. with 8+ years of experience; or Ph.D with 6+ years of experience.', '3+ years experience developing and deploying machine learning solutions to production. Familiarity with typical machine learning algorithms from an engineering perspective (how they are built and used, not necessarily the theory); familiarity with supervised / unsupervised approaches: how, why, and when and labeled data is created and used', '3+ years experience with ML Platform tools like Jupyter Notebooks, NVidia Workbench, MLFlow, Ray, Vertex AI etc.', 'Experience building data platform product(s) or features with (one of) Apache Spark, Flink or comparable tools in GCP. Experience with Iceberg is highly desirable.', 'Proficiency in distributed computing and orchestration technologies (Kubernetes, Airflow, etc.)', 'Production experience with infrastructure-as-code tools such as Terraform, FluxCD', 'Expert level experience with Python; Java/Scala exposure is recommended. Ability to write Python interfaces to provide standardized and simplified interfaces for data scientists to utilize internal Crowdstrike tools', 'Expert level experience with CI/CD frameworks such as GitHub Actions', 'Expert level experience with containerization frameworks', 'Strong analytical and problem solving skills, capable of working in a dynamic environment', 'Exceptional interpersonal and communication skills. Work with stakeholders across multiple teams and synthesize their needs into software interfaces and processes.', 'Critical Skills Needed for Role:', 'Distributed Systems Knowledge', 'Data Platform Experience', 'Machine Learning concepts', 'Experience with the Following is Desirable:', 'Go', 'Iceberg', 'Pinot or other time-series/OLAP-style database', 'Jenkins', 'Parquet', 'Protocol Buffers/GRPC', '#LI-DP1', '#LI-VJ1', '#LI-HM1', '#LI-Remote']",
Sr. Engineer - Research Operations (Remote),,"['Degree in Computer Science/Computer Engineering (or commensurate experience).', 'Experience with Python, and a compiled language such as Golang.', 'Experience building web-services with data processing pipelines and experience with the concepts required.', 'Experience with relational, graph, and noSQL databases (Redis, Postgres, Cassandra, ElasticSearch a plus).', 'Understanding of messaging or queueing software, Kafka experience highly desirable.', 'Linux skills and experience with large-scale, business-critical Linux environments.', 'Understanding of distributed systems and scalability challenges, particularly in cloud environments such as AWS.', 'The ability to thrive in a fast-paced, test-driven, collaborative and iterative programming environment.', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code reviews and resilient architecture.', '#LI-Remote', '#LI-AO1', 'This role may require the candidate to periodically undergo and pass alcohol and/or drug test(s) during the course of employment.']",11-23-2024
Sr. Engineer - Sensor (Remote),"CrowdStrike Falcon Host is a two-component security product. One component is a “sensor” which is a lightweight agent installed on client machines that observes system activity and recognizes malicious behavior, then provides on-box prevention capability and remote telemetry to the Falcon Host cloud.    The cloud component aggregates sensor telemetry for each customer’s network, can correlate malicious behavior across multiple machines, and presents our customers’ operations teams with a prioritized summary of the threats detected in their environments.    This is a Software Development Engineer (SDE) role in the engineering team that delivers the sensor (lightweight agent) on Windows/Linux/macOS. SDE’s in the team own design and development of features for Falcon For IT, a new product offering which helps IT & Security teams get answers to the most difficult questions about their infrastructure, applications and endpoints, utilizing our Charlotte AI to ease usability and speedup response and remediation of issues. Features may cross-cut core OS subsystems such as file system, memory, process, and networking. Many features are also built in a way that they will have shared components across Windows, macOS and Linux. The team operates under the Agile development principles and ships frequently.","['Can develop high-quality code in C++ for Windows and can demonstrate that', 'capability, be it through job experience or contributions to community projects', 'Experience working on a team to ship major features and releases', 'Able to communicate, collaborate, and work effectively in a distributed team', 'Understanding of networking fundamentals', 'Mac and Linux OS development experience is plus', 'Experience building cyber security related products is a plus', 'Experience on developing product code with the following characteristics: High', 'concurrency requirements needing strong use of multi-threading and high reliability requirements', '#LI-Remote', '#LI-AP1', '#HTF']",
Sr. Engineer - Sensor- DSPM,"This is a Software Development Engineer (SDE) role in the engineering team that delivers the sensor (lightweight agent) on Linux. This role will be part of the team designing and implementing new features in the sensor to secure cloud workloads. The work leverages eBPF and other technologies. These features will extend the power of the Falcon platform to provide seamless visibility, detection, and prevention for container processes running in orchestration environments like Kubernetes.   SDE’s in the team own design and development of core features of the product. Features will cross-cut most core OS subsystems such as file system, memory, process, and networking. The team operates under the Agile development principles and ships frequently.","['5+ years of experience working on product features on Linux or Unix in C/C++ with the following characteristics:', 'high concurrency requirements needing strong use of multi-threading', 'high reliability requirements', 'detailed requirements on low-level operating characteristics (memory usage, efficient performance, correct conformance to external standards)', 'Experience developing production eBPF code for security or networking', 'Experience designing and developing container runtime engines, software that monitors containers. or optimized virtual machine environments to run containers.', 'Experience working on a team to ship major features and releases', 'Ability to communicate, collaborate, and work effectively in a distributed team', '#LI-MB1', '#LI-YA1']",
"Sr. Backend Software Engineer - LogScale (Remote, East Coast)","As our new Senior Cloud Backend Software Engineer you’ll contribute to the LogScale SaaS solution for observability, log management, and security events. You’ll develop new features as well as improve existing functionality. As a member of the LogScale I/O team, you will focus on a broad area of the product including multi-tenancy, user permissions, ingest pipeline, alerting and customer provisioning. You will be responsible for this area together with your team of other backend engineers. You will also be working on a diverse set of larger projects, which require you to collaborate cross-team with frontend engineers, UX designers and product managers.   Teams in LogScale have a great amount of autonomy, and own a part of the LogScale experience, from ideation and development to deployment and feedback. This includes ensuring high quality of the features they deliver, by writing automated tests, and performing manual tests.   This role is open to candidates located in the Eastern Time Zone, with occasional travel required our Crystal City, VA Office.","['A MSC in Computer Science, IT engineering or equivalent experience', 'Fluency in at least one programming language, preferably one running on the JVM', 'Can-do attitude, and that you thrive collaborating in a team and are not afraid of taking on responsibilities', '6+ years of Backend Engineer experience', 'Experience programming in Scala and/or Go', 'Experience with commercial clouds (AWS, Azure, GCP)', 'Experience with Kafka', 'Strong debugging skills', 'Experience developing complex software applications', 'Hands on experience in large-scale (distributed) system architecture, high scalability and availability, and optimization', '#LI-SS1', '#LI-MW1', '#LI-Remote', '#HTF']",
"Sr. Software Engineer, Cloud Security (Remote, IRE)","CrowdStrike is seeking a Senior Engineer for our Cloud Security Product Group. We’re extending CrowdStrike’s mission of “stopping breaches” into the public cloud and cloud-native workloads.   CrowdStrike’s product offering will give customers the ability to monitor and track their cloud-native workloads as well as hardening and protecting them against attacks prior to deployment. This offering will help with defending against potential adversary activities involving cloud-native resources.   When coupled with Falcon, CrowdStrike’s endpoint security offering, our CSPG offering will provide a more comprehensive perspective on how the adversary is targeting key customer infrastructure. Our ultimate goal is to provide a single platform for securing the entire lifecycle of cloud workloads and cloud security posture.","['Degree in Computer Science (or professional experience in data structures/algorithms/distributed systems)', 'Understanding scalability and distributed systems i.e. sharding, partitioning, concurrency, etc', 'Being a team player', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code reviews and resilient architecture.', 'The ability to thrive in a fast-paced, test-driven, collaborative and iterative programming environment.', 'The skills to meet your commitments on time and produce high-quality software that is unit tested, code reviewed and checked in regularly for continuous integration.', 'Contributions to the open-source community (GitHub, Stack Overflow, blogging)', 'Existing exposure to Go, Scala, AWS, Cassandra, Kafka, Elasticsearch...', 'Prior experience in the cybersecurity or intelligence fields.', '#LI-Remote', '#LI-SC2', '#LI-GO1']",
Sr. Engineer II - Cloud SDET (Remote),"We’re building a welcoming & flexible team that prizes collaboration over competition, one which provides opportunities to learn new skills, mentor junior and senior developers and contribute to the direction of both the team & the products for which we’re responsible. This is a high trust environment where we allow team members to manage their own time, take holidays as they need it and reward them with competitive salaries and equity.  The Falcon endpoint agent is able to react in near-real-time to changes in the threat landscape, and underpinning this is the ability of the endpoint agent to quickly query our cloud for new information. This system operates within tight latency and response time constraints at a scale matched by few other environments, and the scale is only growing.      CrowdStrike is seeking a Senior Software Developer in Test for our Detections Platform team. This critical role in the organization will be responsible for validating that the cloud-side software that provides information to the endpoint agent, as well as the endpoint-side code that issues queries and incorporates the responses, is behaving as expected. You’ll be building out an end-to-end validation pipeline leveraging existing frameworks and tooling where possible, but able to color outside the lines when necessary. You’ll work in an environment where quality is the company culture. Come use cutting edge tools and technologies as well as tried and true ones. Work on: verifying key features and functionality that spans our processing, data and customer facing application layers to ensure it’s able to support low-latency prevention of malware, manage thousands of events per second, query across terabytes of data and deliver accurate information to the endpoint - which also processes the data properly.","['10+ years of experience as an SDET or Backend Developer (combined)', '2-3+ years building testing frameworks and tooling for a Cloud SaaS product', 'Strong debugging skills: ability to spot design flaws, race conditions and performance bottlenecks in complex architectures.', 'A computer science background or equivalent experience (programming styles, data structures, algorithms, etc.)', 'Experience in building, validating, and/or maintaining large distributed systems at scale.', 'Solid design and problem-solving skills with a demonstrated passion for engineering excellence, quality, security, and performance, coupled with a desire to ship elegant solutions to complex problems.', 'Strong cross-group collaboration and interpersonal communication skills working across engineering organizations.', 'Experience with Golang, Python, Kubernetes, Cassandra, Redis, Kafka, Elastic Search, Python, and/or similar technologies. You don’t need all of these, but you need at least one.', 'Both a sense of humor and a sense of humility.', 'Prior experience with building, operating, validating, and scaling low-latency internet services.', 'Experience with building and shipping cloud-connected endpoint software.', 'Solid grounding in the technology of at least one cloud environment (AWS, Azure, GCP).', 'Exposure to/experience with cybersecurity and intelligence.', '#LI-JC1', '#LI-OC1', '#LI-Remote', '#HTF', '#HTF', 'This role will require the candidate to periodically undergo and pass additional background and fingerprint check(s) consistent with government customer requirements.']",01-08-2025
Sr. Engineering Manager - LogScale Search Team,,"['BS/MS in Computer Science or related field, or equivalent work experience.', '10+ years of experience in software engineering, with at least 5 years of experience in a hands-on managerial role, and at least 5 years of experience as an individual contributor.', 'Experience in common frontend environments like React, Angular, or equivalent development environments specifically in LogScale we use Elm.', 'Experience with shipping high-quality software in a high-scale cloud environment.', 'Broad grounding in all aspects of distributed systems development and computer science fundamentals.', 'Solid design and problem-solving skills with a demonstrated passion for engineering excellence, quality, security, and performance.', 'Strong cross-group collaboration and interpersonal communication skills working with a variety of roles including engineering, product management, support, and sales engineering.', 'Experience working with remote teams and individuals while ensuring agility and velocity.', 'Ability to communicate and articulate crisply at all levels from executive staff to engineers.', 'Ability and desire to be hands-on as well as leading the team and collaborating cross functionally.', 'Demonstrated track record of hiring, mentoring, and growing developers.', 'Exposure to/experience with cybersecurity products.', 'Experience with data visualization engineering and dashboards.', 'Experience with LogManagement products and visualizing search results.', '#LI-SC2']",
Sr. Finance Manager,"The Senior Corporate Finance Manager will join a fast-paced corporate FP&A team and be responsible for three statement financial models. Among other responsibilities, you will have the unique opportunity to work with various teams across the organization, such as Ops FP&A, Investor Relations, Accounting, and Data Analytics.","['Education – Bachelor’s degree, MBA is a plus.', '10+ years of experience in Corporate Finance.', 'Investment banking experience is a plus', 'Knowledge on SaaS business model.', 'Experience on delivering earnings call materials and board decks.', 'Expertise on Income Statement (GAAP and Non-GAAP), Balance Sheet and Cashflow Statement forecast.', 'Computer Skills – the ability to demonstrate the highest skill levels working in Excel and PowerPoint; familiarity working with\xa0Saleforce.com\xa0pipeline data, Adaptive Insights Planning, and NetSuite accounting data a plus.', 'Familiarity with SaaS Company Metrics – experience calculating and comparing churn, dollar retention rates, cohort growth rates, lifetime value, customer acquisition cost, etc.', 'Other – demonstrated experience or interest related to cybersecurity and/or SaaS.', 'Big 4 public accounting experience and CPA preferred is a plus', '#LI-MJ1']",
"Sr. Manager, Technology Alliances (Remote)",,"['Bachelor’s degree in Business, Information Technology, Cybersecurity, or a related field; MBA preferred.', '7+ years of experience in sales, business development,\xa0&\xa0partnership management within the cybersecurity sector.', 'Experience leading a team', 'Proven track record of managing strategic alliances and driving sales growth in security technologies.', 'Strong understanding of cybersecurity solutions, industry standards, and emerging threats.', 'Excellent communication, negotiation, and interpersonal skills.', 'Ability to work collaboratively in a fast-paced, dynamic environment.', '#LI-CL1', '#LI-Remote']",10-29-2024
Sr. HR Business Partner,,"['Extensive demonstrated skills and experience as a strategic yet hands on business partner, in a comparable\xa0industry/organisation.', 'Knowledge of employment laws across Spain, Italy and ideally the UK with some knowledge of other European countries being advantageous.', 'Experience working within a global business and the ability to work at all levels in an organisation.', 'Excellent communication skills, both written and verbal.', 'Ability to perform well in a fast-paced environment and be an effective problem solver.', 'Excellent time management skills able to prioritise workload and thrive under pressure.', 'Self-driven with ability to work independently and identify opportunities to innovate.', 'Assertive, self-motivated and confident with excellent commercial acumen.', 'Excellent interpersonal skills and strong result and goal orientation', 'Must have good judgment, maintain confidentiality and work with minimal supervision.', 'Proficient in Microsoft Word/Excel/PowerPoint/Outlook, and Workday', 'Knowledge of employment laws in Catalonia, Spain', 'Fluent in Spanish or Italian', ""Bachelor's Degree in Human Resources or related field is desirable."", 'Experience with dashboards including Salesforce, Tableau a plus.', 'Experience in organisation design and development advantageous.', 'Experience working in a pan-European role or with pan-European functions and at a senior level is desirable, ideally including Go to Market functions.', 'Italian language beneficial', '#LI-EF1']",
"Sr. HRIS Analyst, Workday Support (Remote)","CrowdStrike’s HRIS team is scaling to meet the needs of our rapidly growing company, and we need skilled problem-solvers to help our stakeholders drive business value within Workday. This role includes a high bar for providing outstanding customer service through tier-3 Workday support & enhancements.",[],
Sr. Intelligence Analyst - CAO Elite (Remote),,"['All candidates must possess the following qualifications:', '5+ years of experience in two (or more) of the following areas:', 'Incident response', 'Security operations', 'Threat hunting', 'Cyber Threat intelligence', 'Dark web monitoring', 'Successful candidates will have experience in one or more of the following areas:', 'Presentation Delivery: a background in presenting, briefing, and delivering reports to stakeholders ranging from individual contributors to executives.', 'Incident Handling: experience conducting threat hunting or managing incident response for organizations, investigating targeted threats such as the Advanced Persistent Threat, Organized Crime, and Hactivists.', 'Intelligence Tradecraft: knowledge of cyber threat intelligence terminology and data communication concepts and technologies.', 'Project Management: Strong project management skills with the ability to communicate executive and/or detailed level findings to clients; ability to effectively communicate tasks, guidance, and methodology with internal teams', 'Ability to travel on short notice, up to 5% of the time.', 'Understanding of contemporary scripting languages', 'Familiarity with application programming interfaces (API)', '#LI-AO1', '#LI-Remote']",01-04-2025
Sr. Intelligence Analyst II (Remote),,"['All candidates must possess the following qualifications:', '5+ years of experience in two (or more) of the following areas:', 'Incident response', 'Security operations', 'Threat hunting', 'Cyber Threat intelligence', 'Dark web monitoring', 'Successful candidates will have experience in one or more of the following areas:', 'Presentation Delivery: a background in presenting, briefing, and delivering reports to stakeholders ranging from individual contributors to executives.', 'Incident Handling: experience conducting threat hunting or managing incident response for organizations, investigating targeted threats such as the Advanced Persistent Threat, Organized Crime, and Hactivists.', 'Intelligence Tradecraft: knowledge of cyber threat intelligence terminology and data communication concepts and technologies.', 'Project Management: Strong project management skills with the ability to communicate executive and/or detailed level findings to clients; ability to effectively communicate tasks, guidance, and methodology with internal teams', 'Ability to travel on short notice, up to 5% of the time.', 'Understanding of contemporary scripting languages', 'Familiarity with application programming interfaces (API)', '#LI-Remote', '#LI-EV1', '#LI-JP2']",
Sr. Machine Learning Engineer - ML Platform (Remote),"CrowdStrike is looking for a Sr. Machine Learning Engineer to join our growing ML Platform Engineering Team. You will be responsible for building globally distributed, fault-tolerant, and highly scalable ecosystems. You will partner with many teams across the company to provide solutions for challenging and high value projects.   CrowdStrike is a computer security company, but we do not require candidates for this role to have prior security industry experience. We will mentor and train in security topics as needed. We do expect a strong interest in CrowdStrike's mission and a willingness to engage with the needs of our product teams and customers.","['Any STEM undergraduate degree', 'Prior work experience with big data and microservices', 'Understanding scalability and distributed systems e.g. sharding, partitioning, and concurrency', 'Be a team player', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code reviews and resilient architecture.', 'The ability to thrive in a test-driven, collaborative, and iterative programming environment.', 'The skills to meet your commitments on time and produce high-quality software that is unit tested, code reviewed, and checked in regularly for continuous integration.', '\u200b', 'Existing exposure to AWS and distributed systems', 'Experience with Language Models, Data Science, and Data Engineering', 'Prior experience in the cybersecurity or intelligence fields', '\u200b', '#LI-RC1', '#LI-Remote']",01-06-2025
Sr. Manager - ServiceNow Development (Remote),,"['Bachelor’s degree in the field of computer science, information systems, other related degree, or equivalent experience (typically 12-14 years working in IT Service Management and / or with the ServiceNow platform).', 'ITIL Certification - Minimum V3 Foundation', 'Demonstrable knowledge of the ITSM framework (ITIL).', 'Demonstrable knowledge of Agile ways of working and experience in measuring level of effort with enhancements, defects, and stories.', 'Excellent written and spoken communication and interpersonal skills.', '5+ years management experience leading high performing development teams.', 'Demonstrated ability to influence executive leadership', 'A drive for automation, efficiency, and the streamlining of processes and workflows to reduce friction, and drive consistent experiences.', 'ITIL V4 foundation or higher.', 'Agile Certification - Agile Leader.', 'Knowledge of CMDB and Common Service Data Model (CSDM) concepts.', 'ServiceNow Development experience - particularly - proficiency in JavaScript, HTML/CSS, and other relevant programming languages.', 'ServiceNow (or equivalent ITSM tool) platform experience - including good working understanding of the ITSM, Legal, HR, and Security modules.', 'Business analysis skills to turn business requirements into technical scope / statement of work documentation for Development teams.', 'ServiceNow Certified System Administrator (CSA).', 'ServiceNow Certified Application Developer (CAD).', '#LI-Remote', '#LI-NA1', '#LI-SC']",11-27-2024
"Sr. Manager, Engineering - Detections Platform Cloud (Remote)","We’re building a welcoming & flexible team that prizes collaboration over competition, one which provides opportunities to learn new skills, mentor junior and senior developers and contribute to the direction of both the team & the products we’re responsible for. This is a high trust environment where we allow team members to manage their own time, take holidays as they need it and reward them with competitive salaries and equity.  The Falcon endpoint agent is able to react in near-real-time to changes in the threat landscape, and underpinning this is the ability of the endpoint agent to quickly query our cloud for new information. This system operates within tight latency and response time constraints at a scale matched by few other environments, and the scale is only growing.      CrowdStrike is seeking a Senior Engineering Manager for our Detections Platform team. This critical role in the organization will be responsible for driving the evolution of the cloud-side software that provides information to the endpoint agent, as well as the endpoint-side code that issues queries and incorporates the responses. You will help drive and deliver on the technical strategy and roadmap, both in the cloud and on the endpoint, while helping the team maintain and improve upon world-class quality for our services. Engineering management at CrowdStrike is a hands-on role, and we expect managers to be focused on delivery and creating an engaged environment for our engineers.   CrowdStrike is growing rapidly and you will be instrumental in the hiring, retaining and growth of the team. You will work cross functionally with your peers in the engineering organization- engineering management, product management, program management, support, and others. Your impact is not bounded and you will be enabled to engage and collaborate with various teams and ensure your product’s success. We are a remote first company so you must bring your excellent verbal and written communication skills to bear when you are working with your engineering teams and cross functional teams across the globe.","['Prior experience as a manager of software development teams, coupled with prior experience as a software developer.', 'Broad grounding in all aspects of distributed systems development: understanding of distributed systems concepts.', 'Experience with building and shipping high-quality software in a cloud environment (AWS,', 'Azure, GCP).', 'Experience in building, validating, and maintaining large distributed systems at scale.', 'Solid design and problem-solving skills with a demonstrated passion for engineering excellence, quality, security, and performance, coupled with a desire to ship elegant solutions to complex problems.', 'Strong cross-group collaboration and interpersonal communication skills working with a variety of roles including engineering, product management, support, and sales engineering.', 'Demonstrated track record of mentoring and coaching engineers.', 'Experience working with remote teams and individuals while maintaining agility and velocity, and helping the team members grow and succeed.', 'Ability to communicate clearly and concisely across the org, from executive staff to engineers.', 'Experience in Golang, C++,\xa0 and/or similar technologies.', 'Both a sense of humor and a sense of humility.', 'Be a US citizen or permanent resident, able to clear CJIS background checks.', 'Prior experience with building, operating, and scaling low-latency internet services.', 'Experience with building and shipping cloud-connected endpoint software.', 'Solid grounding in the technology of at least one cloud environment (AWS, Azure, GCP).', 'Exposure to/experience with cybersecurity and intelligence.', '#LI-JC1', '#LI-OC1', '#LI-Remote', '#HTF', 'This role will require the candidate to periodically undergo and pass additional background and fingerprint check(s) consistent with government customer requirements.']",01-08-2025
"Sr. Manager, Global HR Compliance","The Sr. Manager, Global HR Compliance serves as a strategic partner to key stakeholders collaborating with Employment Legal, Compensation, Privacy Legal, HR Operations, and HR Business Partners to identify emerging risks, complex employment requirements, and workplace policy expectations.  This position is responsible for establishing, communicating, and maintaining policies and practices in HR compliance on a global scale relative to applicable country,  federal, state, county and city laws, rules and regulations that are applicable to CrowdStrike.","['Bachelor’s Degree in Human Resources, Business or related field of study or equivalent experience in addition to 8+ years of relative HR Compliance experience', '7+ years of experience researching, developing, and writing company employment policies and/or communications', '7+ years’ experience working with labor laws and reporting applicable to Federal Contractors and principles of equal employment opportunity', '7+ years of experience working with multi-state employment law issues, including wage and hour, hiring practices, etc.', 'Experience managing global initiatives and ability to navigate through ambiguity/re-prioritize as requirements and direction change', 'Excellent written and verbal communication and presentation skills, with the ability to demonstrate executive presence', 'Employment law and compliance background a plus', 'Experience handling broad range of HR compliance initiatives', 'Strong team player with a track record of building and maintaining relationships across multiple (and often senior) stakeholders', 'Independent, resourceful problem-solver', 'Operating with a sense of urgency/a self-starter who thinks ahead', 'Leveraging knowledge of the business to develop solutions balancing business needs with organizational risk', '#LI-MJ1']",
"Sr. Regional Marketing Manager, North Central (Remote)",,"['Entrepreneurial self-starter with 12+ years of progressive experience in developing demand and/or integrated marketing campaigns within high-tech B2B environment in a Senior Field Marketing Manager role.', 'Previous support of field sales and partner organizations within the IT industry.', 'Track record of implementing effective and creative marketing campaigns that generate new leads, opportunities and accelerate pipeline.', 'Experience in tracking ROI and analyzing marketing events, programs and metrics. Must be competent in reporting results and trends to sales and marketing leaders.', 'Strong experience with live and digital marketing activities such as in-person trade shows and conferences, virtual events, lead generation, ABM and email nurture campaigns, etc. Successful management demonstrated with managing campaigns and live events from concept to post-event follow-up and lead management.', 'Individual contributor with experience managing localized, regional programs and budget that aligns with marketing, sales, and channel goals and objectives.', 'Exceptional project management, organizational and interpersonal skills with ability to take initiative in a challenging, fast-paced environment with multiple priorities. Essential to work cross-functionally, manage multiple projects simultaneously, work on tight deadlines and deliver campaigns on schedule.', 'Ability to scale and grow with an organization with a proven track record of working across marketing functional areas.', 'Experience working with sales and channel teams to understand needs and integrate into Salesforce processes.', 'Experience in cybersecurity is a benefit.', 'Past experience working with third party providers (conferences, demand gen, list services, etc.) and agencies.', 'Courage to take initiative, address problems, and make continuous process improvements.', 'Commitment to professionalism and personal growth.', 'A curiosity for data and enjoys measuring results and uncovering trends.', '#LI-Remote', '#LI-NA1', '#LI-SC1']",12-10-2024
